NT,THT,THt,THQCr,CT,Ct,DT,Dt,QmT,TT,Tt,TCr,C,Si,Mn,P,S,Ni,Cr,Cu,Mo,RedRatio,dA,dB,dC,Fatigue
885,30,0,0,30,0,30,0,30,30,0,0,0.26,0.21,0.44,0.017,0.022,0.01,0.02,0.01,0,825,0.07,0.02,0.04,232
885,30,0,0,30,0,30,0,30,30,0,0,0.25,0.18,0.44,0.009,0.017,0.08,0.12,0.08,0,610,0.11,0,0.04,235
885,30,0,0,30,0,30,0,30,30,0,0,0.26,0.27,0.43,0.008,0.015,0.02,0.03,0.01,0,1270,0.07,0.02,0,235
885,30,0,0,30,0,30,0,30,30,0,0,0.26,0.23,0.51,0.018,0.024,0.01,0.02,0.01,0,1740,0.06,0,0,241
885,30,0,0,30,0,30,0,30,30,0,0,0.22,0.19,0.42,0.026,0.022,0.01,0.02,0.02,0,825,0.04,0.02,0,225
885,30,0,0,30,0,30,0,30,30,0,0,0.26,0.22,0.45,0.026,0.026,0.02,0.05,0.03,0,825,0.06,0.02,0.02,245
885,30,0,0,30,0,30,0,30,30,0,0,0.28,0.27,0.5,0.021,0.018,0.02,0.03,0.01,0,1270,0.08,0.01,0,255
885,30,0,0,30,0,30,0,30,30,0,0,0.27,0.25,0.54,0.02,0.021,0.01,0.02,0.02,0,1740,0.07,0,0,245
885,30,0,0,30,0,30,0,30,30,0,0,0.27,0.23,0.37,0.008,0.03,0.06,0.1,0.09,0,610,0.08,0,0.04,275
885,30,0,0,30,0,30,0,30,30,0,0,0.22,0.26,0.47,0.021,0.023,0.02,0.02,0.01,0,1270,0.04,0.03,0,239
885,30,0,0,30,0,30,0,30,30,0,0,0.23,0.26,0.51,0.029,0.024,0.01,0.03,0.03,0,1740,0.11,0,0,255
865,865,30,24,30,0,30,0,30,550,60,24,0.35,0.21,0.77,0.021,0.022,0.01,0.01,0.02,0,825,0.05,0.03,0,397
865,865,30,24,30,0,30,0,30,550,60,24,0.35,0.3,0.74,0.017,0.024,0.01,0.1,0.01,0,1270,0.07,0.02,0,419
865,865,30,24,30,0,30,0,30,550,60,24,0.34,0.26,0.74,0.012,0.015,0.01,0.02,0.01,0,1740,0.08,0,0,401
865,865,30,24,30,0,30,0,30,550,60,24,0.36,0.26,0.7,0.009,0.023,0.08,0.12,0.09,0,610,0.07,0,0.03,394
865,865,30,24,30,0,30,0,30,550,60,24,0.33,0.21,0.75,0.031,0.019,0.01,0.03,0.02,0,825,0.08,0,0,426
865,865,30,24,30,0,30,0,30,550,60,24,0.38,0.29,0.7,0.01,0.03,0.06,0.09,0.11,0,610,0.06,0.01,0.01,426
865,865,30,24,30,0,30,0,30,550,60,24,0.33,0.26,0.76,0.023,0.013,0.01,0.1,0.03,0,1270,0.08,0.02,0,454
865,865,30,24,30,0,30,0,30,550,60,24,0.32,0.26,0.73,0.015,0.019,0.02,0.02,0.03,0,1740,0.06,0,0,418
865,865,30,24,30,0,30,0,30,550,60,24,0.37,0.27,0.78,0.016,0.02,0.01,0.11,0.02,0,1270,0.13,0.01,0,416
865,865,30,24,30,0,30,0,30,550,60,24,0.35,0.25,0.82,0.016,0.023,0.03,0.01,0.01,0,825,0.07,0.04,0,395
865,865,30,24,30,0,30,0,30,550,60,24,0.37,0.24,0.72,0.015,0.02,0.02,0.02,0.02,0,1740,0.1,0,0,433
865,865,30,24,30,0,30,0,30,550,60,24,0.32,0.21,0.63,0.007,0.017,0.06,0.1,0.08,0,610,0.06,0.05,0.03,379
865,865,30,24,30,0,30,0,30,600,60,24,0.35,0.21,0.77,0.021,0.022,0.01,0.01,0.02,0,825,0.05,0.03,0,382
865,865,30,24,30,0,30,0,30,600,60,24,0.35,0.3,0.74,0.017,0.024,0.01,0.1,0.01,0,1270,0.07,0.02,0,385
865,865,30,24,30,0,30,0,30,600,60,24,0.34,0.26,0.74,0.012,0.015,0.01,0.02,0.01,0,1740,0.08,0,0,365
865,865,30,24,30,0,30,0,30,600,60,24,0.36,0.26,0.7,0.009,0.023,0.08,0.12,0.09,0,610,0.07,0,0.03,379
865,865,30,24,30,0,30,0,30,600,60,24,0.33,0.21,0.75,0.031,0.019,0.01,0.03,0.02,0,825,0.08,0,0,377
865,865,30,24,30,0,30,0,30,600,60,24,0.38,0.29,0.7,0.01,0.03,0.06,0.09,0.11,0,610,0.06,0.01,0.01,394
865,865,30,24,30,0,30,0,30,600,60,24,0.33,0.26,0.76,0.023,0.013,0.01,0.1,0.03,0,1270,0.08,0.02,0,425
865,865,30,24,30,0,30,0,30,600,60,24,0.32,0.26,0.73,0.015,0.019,0.02,0.02,0.03,0,1740,0.06,0,0,395
865,865,30,24,30,0,30,0,30,600,60,24,0.37,0.27,0.78,0.016,0.02,0.01,0.11,0.02,0,1270,0.13,0.01,0,393
865,865,30,24,30,0,30,0,30,600,60,24,0.35,0.25,0.82,0.016,0.023,0.03,0.01,0.01,0,825,0.07,0.04,0,375
865,865,30,24,30,0,30,0,30,600,60,24,0.37,0.24,0.72,0.015,0.02,0.02,0.02,0.02,0,1740,0.1,0,0,389
865,865,30,24,30,0,30,0,30,600,60,24,0.32,0.21,0.63,0.007,0.017,0.06,0.1,0.08,0,610,0.06,0.05,0.03,358
865,865,30,24,30,0,30,0,30,650,60,24,0.35,0.21,0.77,0.021,0.022,0.01,0.01,0.02,0,825,0.05,0.03,0,344
865,865,30,24,30,0,30,0,30,650,60,24,0.35,0.3,0.74,0.017,0.024,0.01,0.1,0.01,0,1270,0.07,0.02,0,369
865,865,30,24,30,0,30,0,30,650,60,24,0.34,0.26,0.74,0.012,0.015,0.01,0.02,0.01,0,1740,0.08,0,0,325
865,865,30,24,30,0,30,0,30,650,60,24,0.36,0.26,0.7,0.009,0.023,0.08,0.12,0.09,0,610,0.07,0,0.03,338
865,865,30,24,30,0,30,0,30,650,60,24,0.33,0.21,0.75,0.031,0.019,0.01,0.03,0.02,0,825,0.08,0,0,362
865,865,30,24,30,0,30,0,30,650,60,24,0.38,0.29,0.7,0.01,0.03,0.06,0.09,0.11,0,610,0.06,0.01,0.01,361
865,865,30,24,30,0,30,0,30,650,60,24,0.33,0.26,0.76,0.023,0.013,0.01,0.1,0.03,0,1270,0.08,0.02,0,385
865,865,30,24,30,0,30,0,30,650,60,24,0.32,0.26,0.73,0.015,0.019,0.02,0.02,0.03,0,1740,0.06,0,0,348
865,865,30,24,30,0,30,0,30,650,60,24,0.37,0.27,0.78,0.016,0.02,0.01,0.11,0.02,0,1270,0.13,0.01,0,368
865,865,30,24,30,0,30,0,30,650,60,24,0.35,0.25,0.82,0.016,0.023,0.03,0.01,0.01,0,825,0.07,0.04,0,341
865,865,30,24,30,0,30,0,30,650,60,24,0.37,0.24,0.72,0.015,0.02,0.02,0.02,0.02,0,1740,0.1,0,0,365
865,865,30,24,30,0,30,0,30,650,60,24,0.32,0.21,0.63,0.007,0.017,0.06,0.1,0.08,0,610,0.06,0.05,0.03,325
845,845,30,24,30,0,30,0,30,550,60,24,0.45,0.25,0.79,0.018,0.016,0.02,0.13,0.02,0,1740,0.07,0,0,513
845,845,30,24,30,0,30,0,30,550,60,24,0.45,0.26,0.76,0.027,0.019,0.01,0.11,0.02,0,1270,0.12,0.01,0,448
845,845,30,24,30,0,30,0,30,550,60,24,0.45,0.24,0.71,0.01,0.009,0.12,0.06,0.13,0,610,0.06,0,0.01,465
845,845,30,24,30,0,30,0,30,550,60,24,0.44,0.24,0.82,0.021,0.021,0.03,0.02,0.02,0,825,0.1,0.03,0.01,446
845,845,30,24,30,0,30,0,30,550,60,24,0.42,0.22,0.78,0.022,0.02,0.01,0.02,0.03,0,825,0.11,0.04,0,437
845,845,30,24,30,0,30,0,30,550,60,24,0.48,0.25,0.75,0.024,0.022,0.02,0.1,0.01,0,1740,0.08,0,0,502
845,845,30,24,30,0,30,0,30,550,60,24,0.47,0.25,0.72,0.015,0.01,0.13,0.04,0.04,0,610,0.04,0,0.03,465
845,845,30,24,30,0,30,0,30,550,60,24,0.43,0.22,0.83,0.017,0.016,0.01,0.12,0.01,0,1740,0.06,0,0,475
845,845,30,24,30,0,30,0,30,550,60,24,0.49,0.26,0.8,0.027,0.023,0.02,0.09,0.01,0,1270,0.13,0.01,0,504
845,845,30,24,30,0,30,0,30,550,60,24,0.45,0.25,0.79,0.011,0.025,0.12,0.04,0.15,0,610,0.09,0,0.04,486
845,845,30,24,30,0,30,0,30,550,60,24,0.42,0.26,0.7,0.024,0.01,0.01,0.1,0.01,0,1270,0.04,0.01,0,452
845,845,30,24,30,0,30,0,30,600,60,24,0.45,0.25,0.79,0.018,0.016,0.02,0.13,0.02,0,1740,0.07,0,0,459
845,845,30,24,30,0,30,0,30,600,60,24,0.45,0.26,0.76,0.027,0.019,0.01,0.11,0.02,0,1270,0.12,0.01,0,415
845,845,30,24,30,0,30,0,30,600,60,24,0.45,0.24,0.71,0.01,0.009,0.12,0.06,0.13,0,610,0.06,0,0.01,437
845,845,30,24,30,0,30,0,30,600,60,24,0.44,0.24,0.82,0.021,0.021,0.03,0.02,0.02,0,825,0.1,0.03,0.01,415
845,845,30,24,30,0,30,0,30,600,60,24,0.42,0.22,0.78,0.022,0.02,0.01,0.02,0.03,0,825,0.11,0.04,0,401
845,845,30,24,30,0,30,0,30,600,60,24,0.48,0.25,0.75,0.024,0.022,0.02,0.1,0.01,0,1740,0.08,0,0,463
845,845,30,24,30,0,30,0,30,600,60,24,0.47,0.25,0.72,0.015,0.01,0.13,0.04,0.04,0,610,0.04,0,0.03,442
845,845,30,24,30,0,30,0,30,600,60,24,0.43,0.22,0.83,0.017,0.016,0.01,0.12,0.01,0,1740,0.06,0,0,438
845,845,30,24,30,0,30,0,30,600,60,24,0.49,0.26,0.8,0.027,0.023,0.02,0.09,0.01,0,1270,0.13,0.01,0,468
845,845,30,24,30,0,30,0,30,600,60,24,0.45,0.25,0.79,0.011,0.025,0.12,0.04,0.15,0,610,0.09,0,0.04,452
845,845,30,24,30,0,30,0,30,600,60,24,0.42,0.26,0.7,0.024,0.01,0.01,0.1,0.01,0,1270,0.04,0.01,0,422
845,845,30,24,30,0,30,0,30,650,60,24,0.45,0.25,0.79,0.018,0.016,0.02,0.13,0.02,0,1740,0.07,0,0,413
845,845,30,24,30,0,30,0,30,650,60,24,0.45,0.26,0.76,0.027,0.019,0.01,0.11,0.02,0,1270,0.12,0.01,0,395
845,845,30,24,30,0,30,0,30,650,60,24,0.45,0.24,0.71,0.01,0.009,0.12,0.06,0.13,0,610,0.06,0,0.01,398
