feature,score
Cr,0.6333509228910931
THQCr,-0.5991066580316552
Tt,0.5920378347989153
Mo,0.5707363494597135
CT,0.5406808789580838
QmT,0.5400142667129412
Ct,0.5396385853351188
DT,0.5389682838131147
Dt,0.538857798433098
TT,-0.5354523429958131
NT,0.4697385980460683
Ni,0.4265838789537165
THt,-0.3703542522231787
Cu,0.35531078160824453
TCr,-0.3436914085256585
Si,0.3131394949087645
RedRatio,-0.29140938221853635
S,-0.2636223226396945
dA,-0.24028405872403125
THT,-0.24005900034933553
dB,-0.21573704605614835
C,-0.1757436608294541
P,-0.10145775604507788
Mn,-0.0940624584206913
dC,0.006314067088732771
