feature,score
Tt,0.8599093584168933
CT,0.8587576498913888
DT,0.8579768458450835
Ct,0.7989815564428745
QmT,0.7942838277519335
TT,0.7910635550419747
Dt,0.7747679098628861
TCr,0.7498263565793337
THt,0.7498045733417353
THT,0.7496111650751572
NT,0.713670436470749
C,0.5986498790881003
THQCr,0.5962014829967339
Cr,0.5347990514616523
Mo,0.44728289134907545
Cu,0.31158107534974827
Si,0.30742145345798744
RedRatio,0.28802391096171803
dB,0.25848851329886124
Mn,0.25779532706958275
Ni,0.24868996478961627
S,0.24226826412423888
dA,0.22261179708437645
dC,0.17433996851076222
P,0.15966838592869123
