feature,score
Tt,0.8603371801853988
CT,0.8502958657757294
DT,0.8486118994543461
Ct,0.7789420111345814
Dt,0.7261054092816618
QmT,0.6879542321182965
THT,-0.6566152539281276
THt,-0.6558972633192877
TCr,-0.6506918960329475
NT,0.6494591542134881
TT,-0.6345504824601572
THQCr,-0.5530982020519613
Cr,0.43429511955171546
C,-0.4123127659570644
Mo,0.40353517441092795
Cu,0.29084635866531944
RedRatio,-0.22741788724945375
Si,0.2196524699151656
dB,-0.20529048385941803
P,-0.1720632783569844
Mn,-0.16730971702597544
dA,-0.16105787375734507
dC,-0.134092612292618
Ni,0.13373248634131843
S,-0.10934253361570292
